Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,525000,546734,97.95,370,0.41,46,234,905,2.45,382
December,2022,515000,539746,98.7,404,0.52,55,231,771,1.91,261
January,2023,505500,533087,98.24,276,0.39,52,236,699,2.53,374
February,2023,524900,537025,98.69,353,0.55,58,233,641,1.82,471
March,2023,514950,538545,99.63,517,0.76,45,244,679,1.31,593
April,2023,539900,577235,99.85,494,0.73,42,241,674,1.36,578
May,2023,533475,557207,100.5,532,0.72,30,248,738,1.39,643
June,2023,550000,576378,100.52,551,0.64,33,244,856,1.55,681
July,2023,536000,567608,100.07,448,0.48,28,244,943,2.1,620
August,2023,545000,579194,99.39,463,0.47,37,246,986,2.13,595
September,2023,539990,572612,99.36,423,0.4,37,242,1061,2.51,546
October,2023,520000,550662,98.78,373,0.36,41,244,1032,2.77,492
November,2023,525000,558677,98.54,402,0.42,47,234,948,2.36,368
December,2023,519358,547462,98.97,366,0.44,57,242,838,2.29,283
January,2024,520000,545768,98.86,261,0.34,55,241,763,2.92,441
February,2024,524990,557936,99.32,425,0.52,57,247,825,1.94,515
March,2024,541250,574835,99.88,478,0.56,51,250,856,1.79,660
April,2024,545000,580664,99.7,510,0.53,40,247,954,1.87,713
May,2024,538950,563576,99.73,562,0.48,39,249,1168,2.08,819
June,2024,540000,569658,99.88,542,0.44,38,255,1236,2.28,689
July,2024,530000,575685,99.38,473,0.35,36,246,1334,2.82,648
August,2024,522740,553687,99.41,474,0.37,42,253,1285,2.71,555
September,2024,536500,570552,99.65,432,0.34,46,242,1272,2.94,612
October,2024,530000,557508,99.28,475,0.35,54,247,1349,2.84,644
November,2024,534925,567608,98.89,442,0.36,50,243,1240,2.81,446
December,2024,520000,543914,98.97,435,0.41,59,242,1052,2.42,295
January,2025,522000,544627,99.17,291,0.27,64,243,1079,3.71,515
February,2025,529950,560890,99.69,369,0.31,64,245,1189,3.22,640
March,2025,529970,564778,99.49,522,0.41,62,247,1272,2.44,763
April,2025,529995,557976,99.48,496,0.35,44,249,1401,2.82,773
May,2025,525250,555115,99.77,534,0.33,42,244,1595,2.99,810
June,2025,526000,561182,99.86,507,0.3,44,249,1702,3.36,719
July,2025,520000,563042,99.8,454,0.26,50,247,1742,3.84,649
August,2025,525000,556457,99.12,445,0.27,57,243,1647,3.7,605
September,2025,515000,553931,98.61,508,0.32,67,238,1584,3.12,537
October,2025,510000,559092,99.13,455,0.31,62,238,1485,3.26,573
