Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,570000,670103,98.33,410,0.41,39,247,995,2.43,373
December,2022,565000,662699,98.24,396,0.51,51,239,769,1.94,232
January,2023,530000,669842,98.08,279,0.43,56,250,647,2.32,366
February,2023,550000,673066,99.04,419,0.78,51,247,540,1.29,446
March,2023,570000,702392,99.94,573,0.94,50,259,611,1.07,651
April,2023,575000,674885,100.09,501,0.83,37,256,606,1.21,623
May,2023,620000,788932,100.66,587,0.91,24,265,643,1.1,631
June,2023,600000,807974,100.53,570,0.69,24,273,831,1.46,765
July,2023,599000,768014,100.44,483,0.55,22,272,878,1.82,635
August,2023,585000,769547,99.76,555,0.58,24,269,953,1.72,653
September,2023,589500,729180,99.31,444,0.45,32,250,993,2.24,551
October,2023,589500,712274,99.36,392,0.4,33,257,973,2.48,468
November,2023,575200,714090,98.99,355,0.39,37,254,900,2.54,364
December,2023,572000,747118,98.8,375,0.51,46,259,739,1.97,249
January,2024,584500,678948,98.71,268,0.38,48,257,697,2.6,440
February,2024,569450,729514,99.5,410,0.57,46,272,724,1.77,536
March,2024,614614,748833,100.15,540,0.7,41,273,773,1.43,672
April,2024,620000,808941,100.02,539,0.61,28,276,888,1.65,770
May,2024,595000,761511,100.07,607,0.52,24,273,1161,1.91,866
June,2024,596000,732089,100.05,517,0.4,25,274,1285,2.49,744
July,2024,621360,749390,99.29,521,0.41,30,263,1283,2.46,636
August,2024,605000,779034,98.92,522,0.4,43,259,1291,2.47,641
September,2024,565000,683135,99.14,437,0.32,37,263,1349,3.09,628
October,2024,599000,774258,98.99,463,0.35,44,267,1336,2.89,577
November,2024,569725,691890,98.75,410,0.36,41,254,1140,2.78,343
December,2024,575000,677977,98.72,438,0.5,59,254,877,2,230
January,2025,574486,670070,98.94,304,0.3,57,259,1010,3.32,576
February,2025,600000,712722,99.1,360,0.34,55,257,1061,2.95,560
March,2025,585000,733580,99.8,471,0.42,48,269,1126,2.39,776
April,2025,591000,757092,99.44,598,0.44,34,273,1356,2.27,897
May,2025,595000,784754,99.64,563,0.36,36,273,1584,2.81,943
June,2025,595000,761625,99.19,584,0.36,37,271,1613,2.76,757
July,2025,597500,749179,98.99,558,0.34,35,262,1621,2.91,712
August,2025,577000,718081,98.91,507,0.32,43,260,1584,3.12,651
September,2025,586250,724976,98.8,466,0.3,48,255,1529,3.28,651
October,2025,575000,744510,98.36,494,0.34,46,258,1473,2.98,579
