Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,690000,891888,97.34,69,0.37,43,330,187,2.71,43
December,2022,698000,797337,96.56,57,0.37,55,340,155,2.72,32
January,2023,712950,759237,96.74,46,0.3,71,298,151,3.28,67
February,2023,750000,962133,97.91,48,0.32,73,327,148,3.08,85
March,2023,756450,932548,99.19,74,0.47,50,337,158,2.14,111
April,2023,828750,1001469,100.37,80,0.46,32,359,175,2.19,124
May,2023,806750,968072,100.03,102,0.51,27,357,199,1.95,143
June,2023,745000,891404,99.8,97,0.39,34,339,247,2.55,158
July,2023,780000,898952,99,97,0.36,32,361,266,2.74,142
August,2023,750000,815890,99.25,93,0.33,39,303,285,3.06,133
September,2023,772500,947256,98.35,77,0.25,41,358,309,4.01,139
October,2023,810000,922478,98.26,105,0.37,42,355,286,2.72,105
November,2023,739990,837724,97.48,81,0.3,56,320,268,3.31,77
December,2023,739900,839671,97.56,71,0.35,63,335,203,2.86,55
January,2024,713500,853268,97.38,72,0.4,62,322,181,2.51,84
February,2024,726000,873621,98.36,87,0.49,58,340,177,2.03,106
March,2024,677975,769094,98.41,102,0.58,56,293,176,1.73,115
April,2024,742500,863357,98.34,100,0.46,55,336,217,2.17,159
May,2024,787475,939541,98.54,122,0.44,43,323,275,2.25,183
June,2024,802000,887354,98.39,98,0.3,31,346,330,3.37,173
July,2024,776000,1054876,97.77,92,0.27,45,358,335,3.64,140
August,2024,736000,934956,98.02,102,0.3,56,349,345,3.38,155
September,2024,777475,818666,97.39,92,0.26,39,313,351,3.82,138
October,2024,769950,892241,97.45,99,0.27,55,313,363,3.67,135
November,2024,805000,839503,98.88,69,0.24,55,303,291,4.22,66
December,2024,781055,858002,98.05,98,0.4,65,328,245,2.5,62
January,2025,816000,992717,97.61,58,0.23,95,318,256,4.41,82
February,2025,765000,1011152,98.56,65,0.25,81,365,257,3.95,125
March,2025,733500,862864,98.75,102,0.37,64,326,277,2.72,168
April,2025,775000,920216,98.54,119,0.36,51,356,334,2.81,199
May,2025,747500,891971,98.66,116,0.3,43,341,391,3.37,219
June,2025,780000,886600,97.8,135,0.3,39,320,447,3.31,194
July,2025,800000,892247,97.2,101,0.22,51,333,452,4.48,155
August,2025,790000,957610,98,99,0.24,48,361,419,4.23,118
September,2025,754500,849600,97.28,108,0.27,63,320,394,3.65,137
October,2025,865000,980118,97.19,115,0.29,60,350,403,3.5,141
