Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,668500,828233,98.05,386,0.45,33,361,867,2.25,363
December,2022,610000,809744,98.38,320,0.51,44,354,629,1.97,212
January,2023,590000,744217,97.94,279,0.53,57,329,524,1.88,371
February,2023,620000,829948,98.68,365,0.74,45,363,493,1.35,434
March,2023,645000,880940,99.94,479,0.78,38,370,617,1.29,699
April,2023,674995,869769,100.7,478,0.73,28,389,653,1.37,635
May,2023,715000,905399,100.91,533,0.73,19,391,735,1.38,693
June,2023,702000,902854,100.21,583,0.67,22,389,865,1.48,736
July,2023,695000,871263,99.62,455,0.52,23,385,870,1.91,561
August,2023,665000,894453,99.19,474,0.51,29,383,924,1.95,635
September,2023,659962,870876,99.33,404,0.38,27,385,1061,2.63,613
October,2023,660000,838423,98.78,377,0.36,32,376,1054,2.8,527
November,2023,650000,834392,98.21,313,0.33,43,363,948,3.03,357
December,2023,610000,786123,98.2,307,0.44,43,351,702,2.29,202
January,2024,631250,793098,97.8,280,0.42,53,357,673,2.4,461
February,2024,670000,846946,99.44,397,0.5,47,389,799,2.01,649
March,2024,690000,893987,100.02,498,0.59,34,385,838,1.68,674
April,2024,775000,961275,100.06,552,0.54,28,404,1031,1.87,908
May,2024,745000,889498,100.15,629,0.46,26,390,1381,2.2,1069
June,2024,730000,930905,99.56,510,0.34,25,388,1488,2.92,776
July,2024,698500,871987,98.64,514,0.36,30,381,1419,2.76,645
August,2024,698200,886775,98.54,495,0.34,38,377,1474,2.98,708
September,2024,675000,811806,98.63,433,0.28,39,374,1551,3.58,725
October,2024,673750,840687,98.14,516,0.35,46,372,1457,2.82,662
November,2024,690000,858947,98.57,452,0.36,46,376,1249,2.76,353
December,2024,689350,910869,98.42,402,0.45,56,374,900,2.24,229
January,2025,628750,805232,97.65,314,0.31,66,357,1004,3.2,610
February,2025,699900,908490,98.69,395,0.34,56,381,1145,2.9,671
March,2025,699850,852071,99.39,484,0.37,46,382,1309,2.7,885
April,2025,733000,887406,99.67,578,0.35,30,385,1652,2.86,1093
May,2025,705000,883998,99.18,567,0.3,29,386,1866,3.29,993
June,2025,746750,922802,99.05,560,0.3,30,391,1883,3.36,801
July,2025,670000,843476,98.05,505,0.29,41,370,1760,3.49,644
August,2025,710975,905782,97.84,440,0.27,48,378,1622,3.69,619
September,2025,640750,823491,97.65,475,0.29,48,362,1630,3.43,721
October,2025,699500,921498,98.1,466,0.3,48,374,1540,3.3,646
