Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,725000,876728,98.26,362,0.38,49,240,946,2.61,304
December,2022,700000,790776,98.19,352,0.47,55,232,756,2.15,182
January,2023,685000,778006,97.61,257,0.39,62,223,660,2.57,360
February,2023,688320,822225,98.78,338,0.55,63,240,620,1.83,423
March,2023,700000,833859,99.42,505,0.72,51,236,700,1.39,642
April,2023,712500,846833,99.71,471,0.68,44,241,692,1.47,593
May,2023,725000,838328,100.11,515,0.65,31,240,795,1.54,624
June,2023,729870,871525,99.64,536,0.6,32,251,899,1.68,721
July,2023,740000,870294,99.44,497,0.54,32,256,927,1.87,555
August,2023,759000,861878,99.41,473,0.48,32,239,977,2.07,584
September,2023,719945,814010,98.96,396,0.36,36,237,1092,2.76,553
October,2023,750000,913445,98.52,359,0.34,40,242,1054,2.94,414
November,2023,725000,814329,98.52,312,0.34,49,235,931,2.98,290
December,2023,705000,849979,98.29,307,0.43,58,238,708,2.31,185
January,2024,736250,863566,98.45,278,0.41,67,236,680,2.45,413
February,2024,700000,811536,99.27,393,0.5,55,239,785,2,551
March,2024,720000,860533,99.48,460,0.56,50,248,825,1.79,597
April,2024,750000,909073,99.49,475,0.48,37,250,993,2.09,807
May,2024,765000,903205,99.62,573,0.47,32,252,1214,2.12,844
June,2024,755000,899774,99.3,550,0.41,34,251,1345,2.45,740
July,2024,750000,885202,99.15,480,0.34,36,251,1404,2.92,658
August,2024,733000,861904,98.61,473,0.32,45,244,1493,3.16,649
September,2024,725000,854945,98.83,408,0.27,50,248,1504,3.69,608
October,2024,750000,852146,98.31,468,0.32,54,241,1453,3.1,571
November,2024,747000,877057,98.3,377,0.3,53,245,1245,3.3,311
December,2024,724000,843018,98.43,418,0.44,71,245,955,2.28,212
January,2025,735000,914629,98.42,327,0.33,78,250,987,3.02,507
February,2025,715875,850484,98.8,360,0.33,69,245,1077,2.99,629
March,2025,755000,863557,99.25,507,0.43,57,247,1178,2.32,814
April,2025,760000,904595,99.11,564,0.37,46,251,1523,2.7,976
May,2025,749950,877764,99.19,604,0.34,37,249,1800,2.98,1018
June,2025,759900,910729,98.77,597,0.32,37,247,1892,3.17,808
July,2025,750000,873053,98.66,506,0.28,41,242,1799,3.56,639
August,2025,738000,874893,98.51,537,0.32,51,242,1700,3.17,634
September,2025,749000,912100,98.32,495,0.3,57,247,1673,3.38,651
October,2025,726115,871079,98.4,491,0.31,63,240,1562,3.18,522
