Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,640000,729529,98.2,409,0.5,38,288,816,2,309
December,2022,630500,732888,98.16,338,0.56,46,285,602,1.78,190
January,2023,620000,717646,98.27,281,0.61,52,280,460,1.64,318
February,2023,635000,734671,99.14,364,0.91,55,291,401,1.1,395
March,2023,650000,728092,100.64,467,0.86,35,292,546,1.17,672
April,2023,685500,820600,101.26,506,0.88,25,306,572,1.13,636
May,2023,695000,802681,101.22,581,0.96,19,298,603,1.04,680
June,2023,715000,809547,100.95,596,0.83,17,306,721,1.21,738
July,2023,695000,802614,100.26,524,0.7,23,304,744,1.42,607
August,2023,689500,812503,99.48,494,0.63,24,306,790,1.6,593
September,2023,715000,833030,99.28,446,0.51,31,313,867,1.94,574
October,2023,670000,812265,99.2,408,0.49,27,296,840,2.06,474
November,2023,658793,766321,98.75,360,0.49,36,291,737,2.05,330
December,2023,651200,746777,98.43,359,0.68,43,293,527,1.47,172
January,2024,670000,753036,98.73,281,0.59,49,292,473,1.68,345
February,2024,700000,808054,99.55,341,0.66,44,301,513,1.5,472
March,2024,705000,816522,100.44,451,0.85,37,310,530,1.18,561
April,2024,700000,809191,100.46,512,0.79,23,311,647,1.26,760
May,2024,696942,828781,100.62,594,0.58,18,313,1033,1.74,1010
June,2024,727500,837262,100.16,521,0.45,22,315,1155,2.22,826
July,2024,715000,814848,99.4,589,0.48,25,309,1227,2.08,705
August,2024,733500,867845,99.14,563,0.44,31,313,1289,2.29,709
September,2024,662000,776272,99.07,478,0.37,33,306,1309,2.74,646
October,2024,700000,830555,99.01,514,0.43,37,309,1193,2.32,562
November,2024,700000,801866,98.8,447,0.48,43,299,935,2.09,320
December,2024,676900,797890,98.56,440,0.65,52,310,675,1.53,201
January,2025,697500,791452,98.71,290,0.39,57,307,741,2.56,492
February,2025,687500,771409,99.92,371,0.46,47,310,799,2.15,546
March,2025,725000,859956,99.88,467,0.51,38,313,921,1.97,792
April,2025,710174,837839,99.88,536,0.44,29,319,1216,2.27,948
May,2025,729999,855910,99.78,605,0.4,21,313,1523,2.52,1015
June,2025,713500,848285,99.35,605,0.36,29,317,1685,2.79,898
July,2025,700000,820447,99,572,0.33,33,315,1753,3.06,801
August,2025,726500,848523,98.58,532,0.33,42,307,1603,3.01,571
September,2025,698000,806249,98.49,497,0.32,48,298,1565,3.15,658
October,2025,712000,830972,98.56,497,0.36,51,295,1399,2.81,572
