Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,570000,656277,98.26,111,0.38,51,251,289,2.6,86
December,2022,550000,641931,97.23,99,0.47,58,247,212,2.14,52
January,2023,559250,626298,98.32,82,0.49,68,244,169,2.06,84
February,2023,577750,662134,98.48,96,0.69,66,225,139,1.45,66
March,2023,583250,666546,99.22,82,0.58,66,246,142,1.73,94
April,2023,565000,656876,99.92,88,0.65,65,248,136,1.55,94
May,2023,569000,682181,99.59,83,0.53,44,247,156,1.88,106
June,2023,559000,646340,99.72,65,0.34,31,272,189,2.91,113
July,2023,530000,628583,98.48,78,0.44,32,249,176,2.26,88
August,2023,580000,632469,98.17,69,0.39,38,255,178,2.58,97
September,2023,605800,677390,98.38,71,0.4,38,242,179,2.52,83
October,2023,575500,703320,98.39,46,0.25,45,269,182,3.96,72
November,2023,564450,628118,98.96,44,0.24,45,237,185,4.2,57
December,2023,567450,617098,97.6,40,0.23,47,216,174,4.35,50
January,2024,529950,622342,98.56,38,0.21,36,227,179,4.71,96
February,2024,540000,643587,98.5,64,0.39,59,245,166,2.59,73
March,2024,579945,679463,100.35,68,0.39,71,247,176,2.59,117
April,2024,571200,650038,99.72,80,0.4,31,250,200,2.5,118
May,2024,599950,692177,99.11,81,0.36,51,256,222,2.74,125
June,2024,589900,648367,98.47,75,0.3,38,255,253,3.37,127
July,2024,560000,655369,99.39,70,0.25,47,238,284,4.06,104
August,2024,570000,676417,98.19,60,0.2,52,248,302,5.03,113
September,2024,569000,663936,98.52,66,0.23,55,262,285,4.32,94
October,2024,595500,652087,97.7,72,0.25,69,236,290,4.03,97
November,2024,537500,641302,98.67,61,0.25,58,250,248,4.07,71
December,2024,569000,626234,98.05,71,0.31,64,249,229,3.23,64
January,2025,565000,643338,98.12,53,0.24,74,257,224,4.23,90
February,2025,559900,598011,98.32,81,0.36,83,251,227,2.8,100
March,2025,554950,619358,99.14,90,0.41,71,253,218,2.42,121
April,2025,540000,673634,99.35,95,0.37,61,240,258,2.72,142
May,2025,552500,647574,99.15,88,0.28,61,249,311,3.53,146
June,2025,569000,632855,99.31,82,0.23,46,243,353,4.3,132
July,2025,551200,630334,99.97,76,0.21,53,256,354,4.66,128
August,2025,612450,669130,97.57,74,0.22,64,260,329,4.45,83
September,2025,544475,650549,98.7,76,0.23,68,251,329,4.33,89
October,2025,595000,713550,98.15,60,0.21,73,271,290,4.83,83
