Month,Year,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,490000,533261,99,192,0.4,43,217,477,2.48,174
December,2022,488900,521478,98.82,175,0.41,46,217,423,2.42,122
January,2023,485900,541536,98.85,123,0.31,67,224,401,3.26,212
February,2023,505000,523178,98.76,183,0.5,60,219,363,1.98,199
March,2023,520000,549585,98.89,210,0.55,60,220,382,1.82,282
April,2023,515000,541489,99.67,203,0.48,56,231,427,2.1,283
May,2023,549500,588789,99.6,214,0.48,46,222,448,2.09,252
June,2023,533528,572714,99.38,230,0.48,38,230,478,2.08,238
July,2023,512950,560435,99.52,174,0.35,38,228,491,2.82,211
August,2023,524686,580073,99.39,162,0.32,41,224,510,3.15,228
September,2023,525000,571517,98.81,167,0.34,49,233,494,2.96,167
October,2023,531676,579257,98.93,140,0.29,57,225,487,3.48,189
November,2023,544995,589403,99.43,128,0.27,59,224,467,3.65,165
December,2023,515000,584990,98.95,147,0.37,70,228,393,2.67,111
January,2024,517450,567032,99.04,106,0.28,65,216,374,3.53,192
February,2024,512750,577466,99.14,174,0.42,69,222,412,2.37,210
March,2024,535000,559907,99.7,177,0.44,60,234,404,2.28,209
April,2024,532900,584053,99.36,180,0.42,51,233,425,2.36,269
May,2024,530450,586917,100.77,190,0.36,46,227,528,2.78,299
June,2024,539975,569525,99.44,168,0.3,51,233,568,3.38,268
July,2024,538000,567327,99.7,183,0.31,46,231,592,3.23,267
August,2024,530000,570506,99.37,191,0.31,54,242,626,3.28,249
September,2024,526975,597371,99.29,200,0.32,61,249,622,3.11,259
October,2024,509950,561526,99.1,184,0.29,64,238,645,3.51,272
November,2024,549950,597790,98.49,172,0.28,62,226,611,3.55,186
December,2024,558000,604191,99.06,201,0.36,64,227,556,2.77,164
January,2025,537000,596940,98.27,143,0.26,63,224,552,3.86,246
February,2025,549900,600903,98.68,167,0.29,66,223,574,3.44,238
March,2025,538640,575994,99.5,221,0.39,76,227,565,2.56,315
April,2025,535000,585447,99.19,227,0.37,65,232,608,2.68,345
May,2025,525000,592364,98.78,269,0.39,47,235,696,2.59,339
June,2025,545000,595625,99.21,216,0.31,51,231,695,3.22,289
July,2025,520000,569253,98.97,221,0.31,51,230,712,3.22,274
August,2025,533950,591853,99.03,177,0.26,56,233,681,3.85,244
September,2025,513495,554862,98.46,198,0.3,55,223,655,3.31,249
October,2025,519850,589219,98.39,150,0.22,66,230,678,4.52,254
