Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80207,Single Family Residence,752500,829545,99.2,11,0.27,20,359,41,3.73,13
December,2022,80207,Single Family Residence,592500,744500,98.13,10,0.38,55,369,26,2.6,10
January,2023,80207,Single Family Residence,525000,575796,98.18,17,0.89,58,345,19,1.12,15
February,2023,80207,Single Family Residence,546000,672720,97.94,20,1.67,57,354,12,0.6,10
March,2023,80207,Single Family Residence,638000,848917,102.13,12,0.55,42,408,22,1.83,33
April,2023,80207,Single Family Residence,628750,853940,101.58,26,1.04,15,395,25,0.96,23
May,2023,80207,Single Family Residence,665000,686983,100.8,21,0.72,16,406,29,1.38,41
June,2023,80207,Single Family Residence,636500,685038,100.52,30,0.83,10,422,36,1.2,35
July,2023,80207,Single Family Residence,720000,849893,98.26,21,0.72,28,392,29,1.38,21
August,2023,80207,Single Family Residence,654175,765672,99.69,24,0.63,30,390,38,1.58,30
September,2023,80207,Single Family Residence,705000,795684,100.12,19,0.39,31,387,49,2.58,34
October,2023,80207,Single Family Residence,702500,761687,98.72,18,0.38,40,394,48,2.67,30
November,2023,80207,Single Family Residence,612050,658644,97.46,18,0.46,20,380,39,2.17,12
December,2023,80207,Single Family Residence,635000,783550,98.07,13,0.41,41,360,32,2.46,11
January,2024,80207,Single Family Residence,640000,972936,96.31,11,0.3,36,353,37,3.36,25
February,2024,80207,Single Family Residence,632000,720216,99.79,16,0.38,40,434,42,2.62,37
March,2024,80207,Single Family Residence,635000,842653,100.6,29,0.88,29,395,33,1.14,29
April,2024,80207,Single Family Residence,765000,935933,100.22,35,0.71,30,426,49,1.4,54
May,2024,80207,Single Family Residence,690000,810093,100.06,33,0.46,22,393,71,2.15,61
June,2024,80207,Single Family Residence,685500,825038,99.21,24,0.37,23,425,65,2.71,29
July,2024,80207,Single Family Residence,656000,844875,98.32,28,0.41,29,369,69,2.46,37
August,2024,80207,Single Family Residence,692000,903664,98.09,17,0.23,37,420,74,4.35,36
September,2024,80207,Single Family Residence,640500,718782,98.51,28,0.37,27,407,75,2.68,41
October,2024,80207,Single Family Residence,700000,711759,96.57,29,0.48,40,369,60,2.07,26
November,2024,80207,Single Family Residence,655000,758500,98.21,21,0.35,42,418,60,2.86,16
December,2024,80207,Single Family Residence,607500,644500,95.86,14,0.38,37,348,37,2.64,9
January,2025,80207,Single Family Residence,685000,752752,96.57,17,0.37,82,335,46,2.71,32
February,2025,80207,Single Family Residence,794000,827321,99.16,24,0.51,47,384,47,1.96,33
March,2025,80207,Single Family Residence,782500,881373,99.78,30,0.58,55,418,52,1.73,37
April,2025,80207,Single Family Residence,605000,817772,98.87,19,0.28,35,398,67,3.53,50
May,2025,80207,Single Family Residence,707500,780480,100.24,28,0.36,34,422,78,2.79,51
June,2025,80207,Single Family Residence,625000,754445,98.49,33,0.46,29,386,71,2.15,30
July,2025,80207,Single Family Residence,557500,688031,97.93,32,0.43,43,387,74,2.31,28
August,2025,80207,Single Family Residence,580000,641417,98.72,12,0.18,79,381,68,5.67,27
September,2025,80207,Single Family Residence,697750,882791,97.12,26,0.39,49,387,66,2.54,33
October,2025,80207,Single Family Residence,693750,821501,98.94,28,0.38,31,368,74,2.64,44
