Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
November,2022,80218,Condominium,390000,447000,99.04,11,0.22,31,471,50,4.55,16
December,2022,80218,Condominium,354250,383788,98.72,8,0.19,30,427,43,5.38,10
January,2023,80218,Condominium,307315,422866,97.25,14,0.42,69,485,33,2.36,9
February,2023,80218,Condominium,380000,440213,99.09,10,0.3,60,485,33,3.3,18
March,2023,80218,Condominium,375000,483593,98.39,14,0.42,30,429,33,2.36,21
April,2023,80218,Condominium,432500,412795,100.77,20,0.59,45,445,34,1.7,24
May,2023,80218,Condominium,344000,401294,99.99,17,0.39,28,438,44,2.59,29
June,2023,80218,Condominium,372000,429933,101.88,15,0.37,23,475,41,2.73,27
July,2023,80218,Condominium,467500,490175,101.2,34,0.79,54,544,43,1.26,25
August,2023,80218,Condominium,400000,410268,100.24,22,0.65,29,526,34,1.55,13
September,2023,80218,Condominium,337000,449433,97.39,15,0.38,47,462,40,2.67,25
October,2023,80218,Condominium,450000,530198,99.79,15,0.28,34,517,54,3.6,28
November,2023,80218,Condominium,379500,427250,99.34,10,0.25,45,449,40,4,8
December,2023,80218,Condominium,321000,399000,99.07,11,0.44,39,438,25,2.27,8
January,2024,80218,Condominium,352000,407750,96.9,10,0.32,62,488,31,3.1,22
February,2024,80218,Condominium,312500,378750,98.82,14,0.32,46,462,44,3.14,30
March,2024,80218,Condominium,298500,350232,99.8,12,0.22,47,427,55,4.58,27
April,2024,80218,Condominium,395000,420556,99.66,18,0.32,27,485,56,3.11,28
May,2024,80218,Condominium,364500,463286,99.35,14,0.21,52,492,68,4.86,36
June,2024,80218,Condominium,325000,387600,98.66,14,0.2,58,442,71,5.07,26
July,2024,80218,Condominium,330788,490999,98.4,14,0.19,50,447,74,5.29,25
August,2024,80218,Condominium,317500,486050,99.01,8,0.09,53,454,90,11.25,37
September,2024,80218,Condominium,390000,414693,98.79,15,0.18,33,455,85,5.67,27
October,2024,80218,Condominium,329500,390444,99.08,18,0.2,65,427,89,4.94,27
November,2024,80218,Condominium,435000,405786,98.82,7,0.09,83,398,80,11.43,14
December,2024,80218,Condominium,386617,444521,98.2,12,0.24,52,467,50,4.17,1
January,2025,80218,Condominium,512900,515792,98.01,10,0.16,119,414,61,6.1,29
February,2025,80218,Condominium,380000,441077,97.57,13,0.2,54,448,65,5,30
March,2025,80218,Condominium,323500,364269,98.82,16,0.18,47,421,90,5.62,48
April,2025,80218,Condominium,347500,422833,98.25,12,0.12,33,426,100,8.33,34
May,2025,80218,Condominium,337500,366885,98.13,20,0.17,41,415,115,5.75,39
June,2025,80218,Condominium,395000,420414,97.17,11,0.11,61,426,99,9,17
July,2025,80218,Condominium,375000,378278,98.06,13,0.14,78,386,93,7.15,22
August,2025,80218,Condominium,362000,410050,96.54,14,0.16,87,396,87,6.21,23
September,2025,80218,Condominium,295750,358550,96.84,10,0.11,102,400,91,9.1,25
October,2025,80218,Condominium,380000,423000,97.99,8,0.09,72,420,86,10.75,25
