Month,Year,ZIP Code,Property Type,Med. Sales Price,Avg. Sales Price,Sales to List Price,Homes Sold,Absorption Rate,Average DOM,Price Per Sqft.,Active Inventory,MSI,New Listings
April,2023,80220,Single Family Residence,832500,984786,102.15,38,0.7,16,433,54,1.42,54
April,2024,80220,Single Family Residence,825000,1024895,100.31,46,0.64,20,433,72,1.57,73
April,2025,80220,Single Family Residence,840000,1074308,101.16,47,0.31,26,414,150,3.19,92
April,2023,80220,Condominium,346200,356050,100.32,8,0.67,32,358,12,1.5,11
April,2024,80220,Condominium,275111,322022,99.42,10,0.32,45,366,31,3.1,13
April,2025,80220,Condominium,224000,235833,96.1,9,0.23,131,307,39,4.33,12
April,2023,80218,Single Family Residence,827500,1351250,102.16,4,0.31,6,464,13,3.25,11
April,2024,80218,Single Family Residence,1015000,992111,98.29,9,0.47,75,396,19,2.11,13
April,2025,80218,Single Family Residence,1200000,1375500,96.46,9,0.3,45,445,30,3.33,10
April,2023,80218,Condominium,432500,412795,100.77,20,0.59,45,445,34,1.7,24
April,2024,80218,Condominium,395000,420556,99.66,18,0.32,27,485,56,3.11,28
April,2025,80218,Condominium,347500,422833,98.25,12,0.12,33,426,100,8.33,34
April,2023,80207,Single Family Residence,628750,853940,101.58,26,1.04,15,395,25,0.96,23
April,2024,80207,Single Family Residence,765000,935933,100.22,35,0.71,30,426,49,1.4,54
April,2025,80207,Single Family Residence,605000,817772,98.87,19,0.28,35,398,67,3.53,50
April,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
April,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,0
April,2025,80207,Condominium,0,0,0,0,0,0,0,2,0,0
April,2023,80206,Single Family Residence,1345790,1529858,100.75,10,0.48,24,435,21,2.1,20
April,2024,80206,Single Family Residence,1350000,1769317,100.74,9,0.2,24,547,44,4.89,30
April,2025,80206,Single Family Residence,1182500,1359720,99.77,20,0.37,51,466,54,2.7,34
April,2023,80206,Condominium,410000,1064944,99.09,9,0.43,34,637,21,2.33,19
April,2024,80206,Condominium,532500,678050,100.81,10,0.22,52,574,45,4.5,29
April,2025,80206,Condominium,585000,1043000,99.27,9,0.1,79,648,86,9.56,30
April,2023,80205,Single Family Residence,637500,696475,99.11,24,1.04,46,369,23,0.96,28
April,2024,80205,Single Family Residence,685000,747460,99.54,21,0.43,24,430,49,2.33,44
April,2025,80205,Single Family Residence,641000,682156,99.64,29,0.3,25,407,96,3.31,65
April,2023,80205,Condominium,381000,444000,98.9,4,0.27,17,478,15,3.75,9
April,2024,80205,Condominium,415000,447706,100.22,9,0.23,35,456,39,4.33,12
April,2025,80205,Condominium,380000,405000,97.33,3,0.06,42,418,48,16,18
April,2023,80204,Single Family Residence,476500,591574,101.27,23,0.82,20,425,28,1.22,25
April,2024,80204,Single Family Residence,555000,618595,100.43,20,0.53,31,439,38,1.9,29
April,2025,80204,Single Family Residence,620000,721194,97.81,16,0.25,56,411,65,4.06,37
April,2023,80204,Condominium,450000,598292,98.32,9,0.53,51,493,17,1.89,11
April,2024,80204,Condominium,407750,478736,99.05,14,0.22,70,441,63,4.5,27
April,2025,80204,Condominium,519500,476938,98.95,4,0.05,81,431,88,22,28
April,2023,80203,Single Family Residence,0,0,0,0,0,0,0,3,0,1
April,2024,80203,Single Family Residence,690000,665543,96.37,7,1.75,63,426,4,0.57,5
April,2025,80203,Single Family Residence,874000,863000,97.18,6,0.67,38,334,9,1.5,6
April,2023,80203,Condominium,350000,374841,99.33,29,0.94,21,473,31,1.07,33
April,2024,80203,Condominium,340000,398421,99.59,19,0.23,49,460,84,4.42,41
April,2025,80203,Condominium,297500,351000,99.22,16,0.12,66,451,136,8.5,50
April,2023,80202,Single Family Residence,0,0,0,0,0,0,0,1,0,0
April,2024,80202,Single Family Residence,40000,40000,100,1,0.11,1,0,9,9,1
April,2025,80202,Single Family Residence,0,0,0,0,0,0,0,5,0,3
April,2023,80202,Condominium,517950,620352,98.53,22,0.19,66,504,118,5.36,50
April,2024,80202,Condominium,750000,843804,97.7,23,0.18,81,589,129,5.61,38
April,2025,80202,Condominium,594000,894421,97.63,19,0.09,99,531,212,11.16,61
August,2023,80220,Single Family Residence,885000,1135700,98.91,45,0.65,30,469,69,1.53,37
August,2024,80220,Single Family Residence,720000,858308,97.52,40,0.35,35,411,115,2.88,48
August,2025,80220,Single Family Residence,587500,881800,97.68,34,0.27,55,400,127,3.74,38
August,2023,80220,Condominium,370000,358400,98.59,5,0.38,23,385,13,2.6,7
August,2024,80220,Condominium,252000,295800,100.79,5,0.12,37,346,40,8,12
August,2025,80220,Condominium,290000,347180,96.04,5,0.12,57,310,42,8.4,7
August,2023,80218,Single Family Residence,1848000,2305701,99.58,5,0.33,19,626,15,3,7
August,2024,80218,Single Family Residence,965000,1735625,98.11,8,0.27,28,435,30,3.75,8
August,2025,80218,Single Family Residence,928000,1021778,98.99,9,0.3,61,349,30,3.33,6
August,2023,80218,Condominium,400000,410268,100.24,22,0.65,29,526,34,1.55,13
August,2024,80218,Condominium,317500,486050,99.01,8,0.09,53,454,90,11.25,37
August,2025,80218,Condominium,362000,410050,96.54,14,0.16,87,396,87,6.21,23
August,2023,80207,Single Family Residence,654175,765672,99.69,24,0.63,30,390,38,1.58,30
August,2024,80207,Single Family Residence,692000,903664,98.09,17,0.23,37,420,74,4.35,36
August,2025,80207,Single Family Residence,580000,641417,98.72,12,0.18,79,381,68,5.67,27
August,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
August,2024,80207,Condominium,0,0,0,0,0,0,0,2,0,0
August,2025,80207,Condominium,0,0,0,0,0,0,0,4,0,2
August,2023,80206,Single Family Residence,1091000,1331346,97.33,13,0.35,22,433,37,2.85,20
August,2024,80206,Single Family Residence,954500,1049433,98.69,16,0.33,43,384,48,3,24
August,2025,80206,Single Family Residence,988500,1177222,98,18,0.34,39,426,53,2.94,15
August,2023,80206,Condominium,355500,484393,99.18,14,0.38,33,540,37,2.64,23
August,2024,80206,Condominium,423750,1044938,99.29,10,0.14,40,575,69,6.9,18
August,2025,80206,Condominium,300000,630800,97.03,5,0.08,82,488,61,12.2,15
August,2023,80205,Single Family Residence,594898,744998,98.67,22,0.55,24,369,40,1.82,28
August,2024,80205,Single Family Residence,702000,798040,99.76,21,0.28,34,382,74,3.52,39
August,2025,80205,Single Family Residence,650000,722320,96.47,25,0.35,58,358,72,2.88,33
August,2023,80205,Condominium,499000,483736,99.64,11,0.5,32,522,22,2,12
August,2024,80205,Condominium,405000,431600,96.81,5,0.11,56,546,46,9.2,10
August,2025,80205,Condominium,0,0,0,0,0,0,0,56,0,17
August,2023,80204,Single Family Residence,490000,555942,97.93,13,0.35,28,396,37,2.85,28
August,2024,80204,Single Family Residence,596000,678589,98.69,23,0.38,42,402,61,2.65,35
August,2025,80204,Single Family Residence,577500,659975,98.25,12,0.16,51,378,77,6.42,27
August,2023,80204,Condominium,542750,627458,97.93,12,0.3,42,552,40,3.33,22
August,2024,80204,Condominium,431750,531131,97.54,10,0.15,82,456,66,6.6,20
August,2025,80204,Condominium,431500,431500,98.63,2,0.03,67,448,78,39,17
August,2023,80203,Single Family Residence,940000,900000,100.55,3,0.38,13,379,8,2.67,1
August,2024,80203,Single Family Residence,449000,449000,100,1,0.1,51,302,10,10,3
August,2025,80203,Single Family Residence,703000,701967,103.06,3,0.3,31,344,10,3.33,7
August,2023,80203,Condominium,373000,386324,99.14,22,0.34,25,426,64,2.91,28
August,2024,80203,Condominium,325000,434640,98.2,15,0.14,54,391,105,7,25
August,2025,80203,Condominium,342000,351494,98.79,17,0.13,75,416,130,7.65,27
August,2023,80202,Single Family Residence,0,0,0,0,0,0,0,3,0,0
August,2024,80202,Single Family Residence,49000,49000,89.09,1,0.12,323,0,8,8,0
August,2025,80202,Single Family Residence,55000,55000,88.14,2,0.5,142,0,4,2,0
August,2023,80202,Condominium,525000,737037,98.72,19,0.14,47,552,134,7.05,31
August,2024,80202,Condominium,501250,526208,96.86,12,0.08,103,487,151,12.58,42
August,2025,80202,Condominium,495000,742300,97,19,0.09,107,571,218,11.47,37
December,2022,80220,Single Family Residence,700100,798214,99.98,21,0.44,35,424,48,2.29,14
December,2023,80220,Single Family Residence,932500,1086898,97.37,26,0.68,51,384,38,1.46,10
December,2024,80220,Single Family Residence,715000,853827,98.39,23,0.32,72,390,73,3.17,15
December,2022,80220,Condominium,283250,281250,98.09,4,4,43,353,1,0.25,1
December,2023,80220,Condominium,226500,249300,96.23,5,0.2,47,337,25,5,10
December,2024,80220,Condominium,265000,287523,97.71,5,0.17,93,312,30,6,1
December,2022,80218,Single Family Residence,1111250,2154583,99.63,6,0.6,58,535,10,1.67,2
December,2023,80218,Single Family Residence,1300000,1361250,97.04,4,0.29,13,484,14,3.5,3
December,2024,80218,Single Family Residence,1205000,1434200,97.59,5,0.36,54,383,14,2.8,1
December,2022,80218,Condominium,354250,383788,98.72,8,0.19,30,427,43,5.38,10
December,2023,80218,Condominium,321000,399000,99.07,11,0.44,39,438,25,2.27,8
December,2024,80218,Condominium,386617,444521,98.2,12,0.24,52,467,50,4.17,1
December,2022,80207,Single Family Residence,592500,744500,98.13,10,0.38,55,369,26,2.6,10
December,2023,80207,Single Family Residence,635000,783550,98.07,13,0.41,41,360,32,2.46,11
December,2024,80207,Single Family Residence,607500,644500,95.86,14,0.38,37,348,37,2.64,9
December,2022,80207,Condominium,0,0,0,0,0,0,0,0,0,0
December,2023,80207,Condominium,0,0,0,0,0,0,0,0,0,0
December,2024,80207,Condominium,0,0,0,0,0,0,0,0,0,0
December,2022,80206,Single Family Residence,953500,1277071,98.46,14,1.17,26,407,12,0.86,5
December,2023,80206,Single Family Residence,1400000,1833980,90.86,5,0.33,39,461,15,3,4
December,2024,80206,Single Family Residence,955000,1138467,97.9,9,0.33,49,408,27,3,6
December,2022,80206,Condominium,685000,662429,98.35,7,0.5,50,619,14,2,6
December,2023,80206,Condominium,470000,2250383,92.37,9,0.3,69,574,30,3.33,9
December,2024,80206,Condominium,706000,974950,96.13,10,0.28,88,685,36,3.6,5
December,2022,80205,Single Family Residence,619000,708167,99.74,14,0.48,45,324,29,2.07,9
December,2023,80205,Single Family Residence,605000,750974,98.3,19,0.79,40,384,24,1.26,9
December,2024,80205,Single Family Residence,650000,684591,99.53,11,0.24,38,433,45,4.09,8
December,2022,80205,Condominium,500000,496250,99.8,4,0.31,21,463,13,3.25,7
December,2023,80205,Condominium,465000,465000,97.89,1,0.08,28,423,12,12,2
December,2024,80205,Condominium,547000,545042,96.36,6,0.27,96,412,22,3.67,5
December,2022,80204,Single Family Residence,447000,505090,99.91,10,0.43,27,388,23,2.3,3
December,2023,80204,Single Family Residence,550000,557446,97.27,17,0.65,42,359,26,1.53,12
December,2024,80204,Single Family Residence,673500,666688,99.09,16,0.28,46,393,57,3.56,16
December,2022,80204,Condominium,495000,518780,98.96,5,0.24,50,450,21,4.2,3
December,2023,80204,Condominium,355000,385824,98.31,9,0.24,43,457,38,4.22,9
December,2024,80204,Condominium,425000,476750,95.95,10,0.31,119,426,32,3.2,2
December,2022,80203,Single Family Residence,2208875,2208875,92.5,2,0.4,19,345,5,2.5,0
December,2023,80203,Single Family Residence,699000,699000,102.95,1,0.33,19,330,3,3,0
December,2024,80203,Single Family Residence,805000,1405000,101.85,3,0.33,20,266,9,3,0
